state,country,shape,latitude,longitude 
va,us,triangle,38.0683333,-78.8897222
ar,,fireball,35.20105,-91.831833
ok,us,other,34.6377778,-97.8172222
,gb,formation,50.396389,-4.138611
ga,us,light,31.2133333,-82.3541667
tx,us,disk,33.5058333,-102.0086111
oh,us,unknown,41.52,-81.4888889
or,us,light,44.5366667,-122.9058333
ga,us,changing,33.5441667,-84.2338889
co,us,changing,39.7391667,-104.9841667
fl,us,sphere,30.3319444,-81.6558333
ca,us,oval,33.7205556,-116.2147222
ny,us,triangle,42.1033333,-76.2625
pa,us,circle,40.0063889,-75.7036111
tx,us,flash,30.2669444,-97.7427778
ga,us,sphere,33.5394444,-83.8194444
fl,,fireball,26.705621,-80.03643
ga,us,unknown,33.6675,-84.0177778
fl,us,unknown,27.6383333,-80.3975
fl,us,oval,27.2541667,-80.23
tx,us,formation,29.7630556,-95.3630556
mn,us,light,46.7833333,-92.1063889
co,us,circle,40.68,-102.8388889
pa,us,unknown,41.1577778,-80.0888889
tx,us,other,33.4213889,-96.5769444
co,us,triangle,39.8855556,-104.9866667
,,light,59.900209,5.282347
on,ca,other,42.983333,-81.25
mn,us,light,45.5113889,-92.98
ny,us,circle,42.6291667,-73.865
nv,us,disk,40.7138889,-116.1030556
in,us,formation,37.9747222,-87.5558333
ny,us,oval,42.6525,-73.7566667
ca,us,triangle,37.5483333,-121.9875
az,us,triangle,32.7252778,-114.6236111
in,us,light,41.6833333,-86.25
mn,us,formation,43.8280556,-91.3038889
pa,,unknown,40.516977,-80.221348
pa,us,oval,39.9522222,-75.1641667
wa,us,light,47.6063889,-122.3308333
co,us,light,38.2544444,-104.6086111
oh,us,oval,39.1619444,-84.4569444
ca,us,disk,32.7152778,-117.1563889
wi,us,circle,43.0730556,-89.4011111
oh,us,sphere,40.4797222,-84.6283333
co,us,egg,38.8697222,-106.9872222
ok,us,unknown,36.1538889,-95.9925
az,us,unknown,34.1111111,-109.2908333
va,us,unknown,36.7280556,-76.5838889
ca,us,light,33.8352778,-117.9136111
nc,us,light,34.2255556,-77.945
va,us,disk,39.1155556,-77.5638889
in,us,changing,41.7075,-86.895
ca,us,light,37.3230556,-122.0311111
ny,us,light,42.7675,-78.7441667
pa,us,circle,40.2736111,-76.8847222
oh,us,circle,41.5930556,-81.5269444
sc,us,formation,34.3769444,-82.6958333
ct,us,light,41.0263889,-73.6288889
sc,us,light,32.8544444,-79.975
ca,,triangle,37.615223,-122.389979
va,us,cigar,38.7891667,-77.1875
ct,us,light,41.1669444,-73.2052778
or,us,triangle,45.4077778,-122.5691667
tx,us,oval,31.4636111,-100.4366667
ct,us,fireball,41.8525,-72.6441667
il,us,cylinder,41.7886111,-89.6961111
wa,us,other,47.9791667,-122.2008333
az,us,disk,35.8752778,-110.6197222
ny,us,circle,42.6525,-73.7566667
ca,us,egg,33.7738889,-117.9405556
fl,us,changing,25.7738889,-80.1938889
ny,us,triangle,42.7283333,-73.6922222
nm,us,circle,36.7280556,-108.2180556
az,us,other,34.61,-112.315
