"country","datetime","count"
"ca","01/02/2011",1
"ca","01/02/2012",2
"ca","01/03/2007",1
"ca","01/03/2013",1
"ca","01/05/2006",1
"ca","01/05/2008",1
"ca","01/07/2006",1
"ca","01/07/2007",1
"ca","01/07/2012",1
"ca","01/07/2013",1
"ca","01/08/2013",1
"ca","01/09/2010",1
"ca","01/10/2013",1
"ca","01/10/2014",1
"ca","01/11/2005",1
"ca","01/11/2009",1
"ca","01/11/2010",1
"ca","01/11/2011",1
"ca","01/11/2012",1
"ca","01/11/2014",2
"ca","01/12/2008",2
"ca","01/12/2009",1
"ca","02/01/2007",2
"ca","02/01/2013",1
"ca","02/02/2006",1
"ca","02/02/2009",1
"ca","02/02/2011",1
"ca","02/02/2014",1
"ca","02/04/2011",1
"ca","02/05/2005",2
"ca","02/05/2012",1
"ca","02/06/2013",1
"ca","02/06/2014",1
"ca","02/07/2008",1
"ca","02/07/2010",1
"ca","02/07/2013",1
"ca","02/07/2014",1
"ca","02/08/2008",1
"ca","02/08/2011",1
"ca","02/09/2007",1
"ca","02/09/2008",1
"ca","02/09/2009",1
"ca","02/10/2007",1
"ca","02/11/2012",1
"ca","02/11/2014",1
"ca","02/12/2005",1
"ca","03/01/2005",1
"ca","03/01/2006",1
"ca","03/01/2009",1
"ca","03/01/2013",1
"ca","03/02/2009",1
"ca","03/02/2013",1
"ca","03/02/2014",2
"ca","03/03/2012",2
"ca","03/04/2005",5
"ca","03/04/2014",1
"ca","03/05/2005",2
"ca","03/05/2008",1
"ca","03/05/2009",1
"ca","03/05/2013",3
"ca","03/05/2014",1
"ca","03/06/2005",1
"ca","03/06/2011",1
"ca","03/06/2012",1
"ca","03/07/2005",1
"ca","03/07/2007",1
"ca","03/07/2009",1
"ca","03/07/2014",1
"ca","03/08/2005",1
"ca","03/08/2011",1
"ca","03/08/2012",1
"ca","03/10/2005",1
"ca","03/10/2013",2
"ca","03/11/2005",1
"ca","03/11/2007",4
"ca","03/11/2009",1
"ca","03/12/2005",3
"ca","03/12/2006",1
"ca","04/01/2005",1
"ca","04/01/2010",1
"ca","04/02/2008",1
"ca","04/02/2011",2
"ca","04/02/2012",1
"ca","04/03/2006",1
"ca","04/03/2007",1
"ca","04/03/2010",2
"ca","04/04/2006",3
"ca","04/04/2014",1
"ca","04/05/2005",1
"ca","04/06/2006",1
"ca","04/06/2008",3
"ca","04/06/2010",2
"ca","04/06/2013",1
"ca","04/07/2006",2
"ca","04/07/2008",1
"ca","04/07/2010",1
"ca","04/07/2011",2
"ca","04/08/2005",1
"ca","04/08/2006",1
"ca","04/09/2006",1
"ca","04/09/2007",1
"ca","04/09/2010",1
"ca","04/09/2011",2
"ca","04/09/2013",1
"ca","04/09/2014",1
"ca","04/10/2007",1
"ca","04/11/2005",1
"ca","04/11/2007",1
"ca","04/11/2012",1
"ca","04/11/2014",1
"ca","04/12/2005",1
"ca","04/12/2007",1
"ca","04/12/2008",1
"ca","04/12/2009",1
"ca","04/12/2014",1
"ca","05/01/2005",1
"ca","05/01/2006",1
"ca","05/01/2010",1
"ca","05/02/2006",1
"ca","05/03/2014",1
"ca","05/04/2012",1
"ca","05/04/2013",2
"ca","05/05/2005",1
"ca","05/05/2007",1
"ca","05/05/2008",1
"ca","05/05/2011",1
"ca","05/05/2012",2
"ca","05/05/2013",1
"ca","05/06/2006",1
"ca","05/06/2011",1
"ca","05/06/2014",1
"ca","05/07/2006",1
"ca","05/07/2007",1
"ca","05/07/2008",1
"ca","05/07/2009",1
"ca","05/07/2011",2
"ca","05/08/2008",1
"ca","05/08/2012",1
"ca","05/08/2013",1
"ca","05/09/2008",2
"ca","05/09/2010",1
"ca","05/09/2011",1
"ca","05/10/2011",1
"ca","05/11/2005",1
"ca","05/11/2006",1
"ca","05/11/2009",1
"ca","05/11/2010",1
"ca","05/11/2012",1
"ca","05/12/2010",2
"ca","05/12/2011",1
"ca","05/12/2012",2
"ca","06/01/2005",1
"ca","06/01/2007",1
"ca","06/01/2008",1
"ca","06/01/2011",1
"ca","06/01/2012",1
"ca","06/01/2013",2
"ca","06/02/2006",1
"ca","06/02/2007",1
"ca","06/02/2011",1
"ca","06/02/2012",1
"ca","06/02/2013",1
