"country","datetime","count"
"ca",2009-07-04,1
"ca",2010-07-04,2
"ca",2012-07-04,0
"ca",2013-07-04,0
"gb",2008-07-04,1
"gb",2009-07-04,2
"us",2005-07-04,29
"us",2006-07-04,19
"us",2007-07-04,33
"us",2008-07-04,53
"us",2009-07-04,73
"us",2010-07-04,182
"us",2011-07-04,131
"us",2012-07-04,165
"us",2013-07-04,156
