datetime,latitude,longitude 
1/17/2005,32.7152778,-117.1563889
1/18/2005,44.5888889,-90.4611111
1/18/2005,45.5236111,-122.675
1/18/2005,33.6,-117.6711111
1/18/2005,33.9163889,-118.3516667
1/19/2005,-37.813938,144.963425
1/19/2005,30.3319444,-81.6558333
1/19/2005,38.7744444,-75.1397222
1/19/2005,42.1694444,-75.1297222
1/19/2005,29.1869444,-82.1402778
1/20/2005,28.555,-82.3880556
1/20/2005,38.2283333,-120.5397222
1/20/2005,51.060853,0.165894
1/20/2005,36.0397222,-114.9811111
1/20/2005,45.6366667,-109.2513889
1/20/2005,43.825058,-72.243469
1/20/2005,41.4338889,-73.1172222
1/20/2005,41.4338889,-73.1172222
1/20/2005,35.6008333,-82.5541667
1/21/2005,29.1869444,-82.1402778
1/21/2005,32.8580556,-113.2125
1/21/2005,41.865,-80.79
1/21/2005,34.4269444,-77.5463889
1/22/2005,34.1063889,-117.5922222
1/22/2005,34.165,-84.8
1/22/2005,47.0380556,-122.8994444
1/22/2005,37.6775,-113.0611111
1/22/2005,47.2530556,-122.4430556
1/23/2005,41.85,-87.65
1/24/2005,41.4138889,-73.3038889
1/24/2005,35.7563889,-83.9705556
1/24/2005,20.798363,-156.331925
1/24/2005,35.4661111,-82.5166667
1/24/2005,27.9011111,-81.5861111
1/24/2005,27.9011111,-81.5861111
1/24/2005,29.9972222,-98.0983333
1/24/2005,29.4238889,-98.4933333
1/25/2005,34.6888889,-82.1958333
1/25/2005,46.216667,-63.483333
1/25/2005,38.9697222,-76.8802778
1/25/2005,43.7097222,-71.4608333
1/25/2005,17.189877,-88.49765
1/25/2005,40.7141667,-74.0063889
1/25/2005,47.5002778,-111.3
1/25/2005,61.2180556,-149.9002778
1/26/2005,36.4072222,-83.0055556
1/26/2005,34.7022222,-82.4647222
1/26/2005,36.2138889,-83.295
1/26/2005,41.8275,-80.8719444
1/27/2005,41.7858333,-88.1472222
1/27/2005,39.4622222,-76.2794444
1/27/2005,33.4483333,-112.0733333
1/27/2005,41.1811111,-79.2025
1/27/2005,40.7933333,-77.8602778
1/28/2005,37.1861111,-87.5558333
1/28/2005,41.5475,-86.5822222
1/28/2005,21.4447222,-158.19
1/28/2005,46.216667,-63.483333
1/28/2005,45.1608333,-93.2347222
1/28/2005,-29.85868,31.02184
1/28/2005,42.9075,-71.7669444
1/28/2005,33.4222222,-111.8219444
1/28/2005,33.4222222,-111.8219444
1/28/2005,33.4222222,-111.8219444
1/28/2005,33.4222222,-111.8219444
1/28/2005,44.7433333,-92.8522222
1/28/2005,33.4222222,-111.8219444
1/28/2005,31.1797222,-83.7891667
1/29/2005,33.8313889,-118.2811111
1/29/2005,34.0522222,-118.2427778
1/29/2005,38.6786111,-121.2247222
1/30/2005,45.416667,-75.7
1/30/2005,46.9422222,-122.6047222
1/30/2005,18.787744,98.993119
1/30/2005,37.1305556,-121.6533333
1/30/2005,39.36,-84.31
1/30/2005,37.6391667,-120.9958333
1/31/2005,30.4380556,-84.2808333
1/31/2005,41.6,-87.9380556
1/31/2005,39.1961111,-121.19
1/31/2005,40.8427778,-73.2933333
1/31/2005,41.1572222,-85.4883333
1/31/2005,47.1855556,-122.2916667
2/1/2005,27.8425,-82.6997222
2/1/2005,40.0697222,-81.8825
2/1/2005,43.755199,-79.526996
2/1/2005,47.3811111,-122.2336111
2/1/2005,40.0697222,-81.8825
2/1/2005,40.0697222,-81.8825
2/1/2005,33.4936111,-117.1475
2/1/2005,41.4886111,-75.7088889
2/1/2005,58.380685,26.725015
2/1/2005,33.5225,-117.7066667
2/1/2005,34.9552778,-90.0347222
2/2/2005,34.09,-117.8894444
2/2/2005,37.8716667,-122.2716667
2/2/2005,42.5277778,-92.4452778
2/2/2005,40.7141667,-74.0063889
2/2/2005,40.8255556,-73.2030556
2/2/2005,41.5047222,-73.97
2/2/2005,36.1538889,-95.9925
2/2/2005,30.0033333,-91.8186111
2/2/2005,47.1855556,-122.2916667
2/3/2005,20.211944,-87.465833
2/3/2005,33.6888889,-78.8869444
2/3/2005,36.1525,-83.4152778
2/3/2005,32.2216667,-110.9258333
2/3/2005,33.4483333,-112.0733333
2/3/2005,40.5852778,-105.0838889
2/3/2005,38.8338889,-104.8208333
2/4/2005,33.4483333,-112.0733333
2/4/2005,38.8402778,-77.4291667
2/4/2005,37.3394444,-121.8938889
2/4/2005,29.6513889,-82.325
2/4/2005,47.5405556,-122.635
2/4/2005,47.5405556,-122.635
2/4/2005,38.9908333,-88.1625
2/4/2005,41.1769444,-112.0030556
2/4/2005,31.9677778,-110.2938889
2/5/2005,39.6288889,-75.1597222
2/5/2005,35.8238889,-80.2536111
2/5/2005,60.00552,-111.884938
2/5/2005,52.516757,-7.887675
2/5/2005,43.0388889,-87.9063889
2/5/2005,60.716667,-135.05
2/5/2005,21.306944,-157.858333
2/5/2005,60.716667,-135.05
2/6/2005,40.1997222,-76.7313889
2/6/2005,38.5816667,-121.4933333
2/6/2005,47.6588889,-117.425
2/6/2005,38.2972222,-122.2844444
2/7/2005,33.2511111,-80.8158333
2/7/2005,33.4483333,-112.0733333
2/7/2005,34.2522222,-118.2875
2/7/2005,47.5302778,-122.0313889
2/7/2005,39.4125,-121.7116667
2/7/2005,51.433333,-0.383333
2/7/2005,52.966667,-1.166667
2/8/2005,40.9780556,-81.7822222
2/8/2005,39.4194444,-76.7805556
2/8/2005,45.0511111,-71.3919444
2/8/2005,46.6622222,-122.9627778
2/8/2005,43.8791667,-120.9188889
2/8/2005,42.3694444,-71.9486111
2/8/2005,37.3394444,-121.8938889
2/9/2005,45.5236111,-122.675
2/9/2005,32.7152778,-117.1563889
2/9/2005,40.7141667,-74.0063889
2/9/2005,34.1363889,-118.7736111
2/9/2005,42.3583333,-71.0602778
2/9/2005,38.0280556,-121.8836111
2/10/2005,33.0197222,-96.6986111
2/10/2005,41.42964,-75.652919
2/10/2005,35.2269444,-80.8433333
2/10/2005,40.7141667,-74.0063889
2/10/2005,42.4452778,-94.1255556
2/10/2005,39.5297222,-119.8127778
2/10/2005,38.6786111,-121.7722222
2/10/2005,52.355518,-1.17432
2/10/2005,48.759553,-122.488225
2/10/2005,45.6388889,-122.6602778
2/10/2005,43.0116667,-88.2313889
